Nom de la ressource,Objet,Enjeux politiques,Enjeux Opérationnels,Phase,Lien vers la ressources,Type,Producteurs,Contexte Projet,Status,Date de mise à jour,Dernière modification,Wordpress ID,Wordpress status
Comment publier en open data en présence de données à caractère personnel,,Confiance,"Acquisition,Conservation",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/comment-publier-en-open-data-en-presence-de-donnees-a-caractere-personnel,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - mettre à jour ?,(vk),23/5/2022 11:22am,3209,publish
Les premières étapes pour s’engager dans une démarche d’ouverture des données,,"Transparence,Transformation ","Organisation,Partage",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-agir/les-premieres-etapes-pour-sengager-dans-une-demarche-douverture-des-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour agir,"Fiches pédagogiques - mettre à jour ?
",(vk),23/5/2022 11:22am,3187,publish
Consultation pour un portail OpenData,,Gouvernance des données,"Partage,Organisation,Architecture",Produire,https://opendatafrance.gitbook.io/odl-ressources/exemple-de-documents/consultation-pour-un-portail-opendata,Guides / web,OpenDataFrance,ODL - Exemples de documents,Exemples de documents - mettre à jour ?,(vk),23/5/2022 11:22am,3188,publish
Dispositifs de publication des données en open data,,"Transformation ,Mutualisation","Partage,Architecture",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-agir/dispositifs-de-publication-des-donnees-en-open-data,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour agir,"Fiches pédagogiques - mettre à jour ?
",(vk),23/5/2022 11:22am,3216,publish
Mentions légales pour un portail open data,,"Gouvernance des données,Conformité",Partage,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/aspects-juridiques/mentions-legales-pour-un-portail-open-data,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Aspects juridiques,Fiches pratiques - mettre à jour ?,(ap),23/5/2022 11:22am,3217,publish
Comment afficher sur son site web des données publiées sur data.gouv.fr,,"Mutualisation,Gouvernance des données",Architecture,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/comment-afficher-sur-son-site-web-des-donnees-publiees-sur-data.gouv.fr,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - mettre à jour ?,(vk),23/5/2022 11:22am,3232,publish
Les données ayant un caractère particulier,,"Conformité,Confiance",Protection,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-comprendre/les-donnees-ayant-un-caractere-particulier,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour comprendre,"Fiches pédagogiques - mettre à jour ?
",(vk),23/5/2022 11:22am,3235,publish
Produire un fichier CSV de qualité,,Gouvernance des données,Qualité,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/produire-un-fichier-csv-de-qualite,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - mettre à jour ?,(vk),23/5/2022 11:22am,3236,publish
Fiche de poste Chef de projet Data,,"Transformation ,Gouvernance des données",Organisation,Produire,https://opendatafrance.gitbook.io/odl-ressources/exemple-de-documents/fiche-de-poste-chef-de-projet-data,Guides / web,OpenDataFrance,ODL - Exemples de documents,Exemples de documents - mettre à jour ?,(vk),23/5/2022 11:22am,3192,publish
Prestataires Conseil en opendata,,Gouvernance des données,Organisation,Produire,https://opendatafrance.gitbook.io/odl-ressources/references/prestataires-conseil-en-opendata,Guides / web,OpenDataFrance,ODL - Liste de prestataires,Liste de prestataires à mettre à jour,(vk),23/5/2022 11:22am,3197,publish
Cahiers de Charge AMO Data,,Gouvernance des données,Organisation,Produire,https://opendatafrance.gitbook.io/odl-ressources/exemple-de-documents/cahiers-de-charge-amo-data,Guides / web,OpenDataFrance,ODL - Exemples de documents,Exemples de documents - mettre à jour ?,(vk),23/5/2022 11:22am,3198,publish
Préparer les données pour une publication en open data,,"Confiance,Gouvernance des données","Qualité,Partage",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/preparer-les-donnees-pour-une-publication-en-open-data,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - faire le lien avec SCDL,(vk),23/5/2022 11:22am,3203,publish
Mois de la data,deux séries de 10 webinaires sur les enjeux de la donnée,"Transparence,Confiance,Conformité,Transformation ,Mutualisation,Innovation,Pilotage Politiques Publiques,Gouvernance des données,Autonomie,autres","Qualité,Protection,Partage,Valorisation,Conservation,Réutilisation,Animation,Organisation",Produire,https://opendatafrance.gitbook.io/le-mois-de-la-data/,Guides / vidéo,OpenDataFrance,OpenDataLocale,A jour (2022),Mars 2022 (jmb),23/5/2022 11:22am,3200,publish
Validata,Validateur des jeux de données standardisés,"Conformité,Confiance,Innovation,Gouvernance des données","Qualité,Réutilisation",Produire,https://validata.fr,Outils,OpenDataFrance,OpenDataFactory,A jour (2022),Mars 2022 (jmb),23/5/2022 11:22am,3202,publish
